company_id,company_name,broad_sector,sub_sector,year,net_profit_margin_pct_final,operating_profit_margin_pct_final,return_on_equity_pct_final,return_on_assets_pct,return_on_capital_employed_pct,debt_to_equity_final,interest_coverage_final,debt_to_assets_pct,borrowings_to_equity_pct,asset_turnover_final,sales_to_assets,sales_to_fixed_assets,free_cash_flow_cr_final,cash_from_operations_cr_final,fcf_margin_pct,cfo_to_net_profit,capex_to_sales_pct,pe_ratio_final,pb_ratio_final,ev_ebitda_final,dividend_yield_pct_final,market_cap_crore_final,enterprise_value_crore_final,earnings_per_share_final,book_value_per_share_final,dividend_payout_ratio_pct_final,sales_growth_pct,net_profit_growth_pct,eps_growth_pct,market_cap_growth_pct,total_assets_final,total_liabilities_final,reserves_final,borrowings_final,health_score,health_band
COALINDIA,Coal India Ltd,Materials,Mining & Metals,2024-03,26.26,47971.0,45.17,15.802850255846408,105.7129732333927,0.0788,11.2418,2.758489448978729,7.88468512027076,0.6019,0.6018691588785047,1.880900777078818,13617.0,18103.0,9.56760630673674,0.4844389734806925,3.151963126387679,,,,,,,61.0,1.3424,42.0,2.9453461794404445,17.79781231283295,17.307692307692314,,236470.0,236470.0,76567.0,6523.0,56.74,Average
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,Holding Companies,2024-03,432.73,92.0,13.58,11.302773131167417,2.8760817529000184,0.0012,3764.5,0.0966835990853424,0.1161354544951794,0.0261,0.0261199183560718,6.975409836065574,1469.0,1941.0,86.310223266745,0.2635437881873727,27.73207990599295,,,,,,,653.0,48.8712,20.0,226.0536398467433,48.90820865345733,49.77064220183487,,65161.0,65161.0,54136.0,63.0,51.79,Average
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,Airlines,2024-03,11.85,16331.0,892.57,668.3306055646481,5640.87982832618,0.0186,22.6126,1.391162029459902,1.8579234972677596,56.3863,56.38625204582652,125.73722627737226,9424.0,21183.0,13.676999883896436,2.593730868127832,17.065772669220944,,,,,,,212.0,1.9062,0.0,26.55475149689601,-2676.340694006309,-2750.0,,1222.0,1222.0,867.0,17.0,51.36,Average
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,FMCG,2024-03,16.61,14659.0,20.07,13.099924830230988,89.63037455884027,0.029,57.847,1.890710800239524,2.897418876176344,0.7886,0.7885945801322478,1.1516820482286394,10145.0,15469.0,16.39039679462324,1.504473837774752,8.601525138942742,,,,,,,44.0,21.7949,96.0,2.172334103664575,1.370403233757278,2.3255813953488413,,78489.0,78489.0,50983.0,1484.0,49.94,Average
TCS,Tata Consultancy Services Ltd,Information Technology,IT Services,2024-03,19.14,27.0,50.94,31.689259788825343,65.26850065983149,0.0886,87.0951,5.513775846898373,8.86406082507266,1.6559,1.6559406621205457,12.287951438481942,50429.0,44338.0,20.934190698774973,0.9617996051975096,2.528508507926756,,,,,,,127.0,24.997,58.0,6.846064455463985,8.973358863437575,10.43478260869566,,145472.0,145472.0,90127.0,8021.0,48.23,Weak
CIPLA,"Cipla Ltd
",Healthcare,Pharmaceuticals,2024-03,16.12,6291.0,15.55,12.768573448498447,71.45529230543534,0.0209,35.3388,1.7182553099929303,2.0931625851868496,0.7922,0.7922417237881536,2.682835432497137,1152.0,4134.0,4.469620547838908,0.9951853635050554,11.569799022270503,,,,,,,51.0,16.5876,25.0,13.2773700171406,46.62901517825626,45.71428571428571,,32533.0,32533.0,26545.0,559.0,47.95,Weak
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,Two Wheelers,2024-03,9.9,5235.0,21.14,14.30810996826368,177.83240467606248,0.0342,47.2685,2.3171337896226056,3.423922255494661,1.4449,1.4449202768324858,6.063703465982028,3095.0,4923.0,8.190214083463442,1.3156066274719402,4.8373865410569215,,,,,,,187.0,44.2475,75.0,10.630013466830611,33.64285714285715,32.62411347517731,,26153.0,26153.0,17659.0,606.0,47.81,Weak
ONGC,Oil & Natural Gas Corpn Ltd,Energy,Oil & Gas Exploration,2024-03,9.66,17.0,16.94,8.044955154739396,20.9759898500972,0.4544,11.3613,21.581658387035876,45.444863084819175,0.8332,0.8332173339682772,1.9815314922902687,42060.0,99263.0,7.111985877483108,1.7383758603176829,9.672537521390066,,,,,,,39.0,5.3588,31.0,-6.467749817726332,74.20525962535847,39.28571428571428,,709774.0,709774.0,330780.0,153181.0,47.81,Weak
ITC,"ITC Ltd
",Consumer Staples,Diversified FMCG,2024-03,29.28,37.0,27.85,22.61590775334045,35.06616762464911,0.0041,362.9625,0.3302308346230136,0.4066731984914169,0.7723,0.7723477995509732,2.5473040977713874,18742.0,17179.0,26.44709733863912,0.8278637174112091,2.205571077808822,,,,,,,16.0,5.9701,84.0,-0.0747331462654599,6.541048416080497,6.666666666666665,,91754.0,91754.0,73259.0,303.0,47.66,Weak
DIVISLAB,Divis Laboratories Ltd,Healthcare,Pharmaceuticals,2024-03,20.4,28.0,11.79,10.34928848641656,16.281125681449833,0.0002,636.25,0.019404915912031,0.0221059612408812,0.5074,0.5074385510996119,1.6554125342899346,992.0,1261.0,12.644996813256853,0.788125,3.4289356277884,,,,,,,60.0,25.6057,50.0,1.0042487446890735,-12.28070175438597,-13.043478260869568,,15460.0,15460.0,13518.0,3.0,47.49,Weak
